complex	planar
Ume6pIme1p complex	TRUE
Sfb3pSec23p complex	TRUE
28	FALSE
318	TRUE
123	TRUE
mitochondrial ATPase inhibitor complex	TRUE
alpha DNA polymeraseprimase complex	TRUE
Csm1pLrs4p complex	TRUE
Sap155pSit4p complex	TRUE
220	TRUE
213	TRUE
Cdc28pClb3p complex	TRUE
U1 snRNP complex	FALSE
324	TRUE
107	TRUE
DNA-directed RNA polymerase II complex	FALSE
Sec61p translocon complex	TRUE
17	TRUE
NatC complex	TRUE
360	TRUE
multi-eIF complex	FALSE
Fig4pVac14p complex	TRUE
218	TRUE
108	TRUE
341	TRUE
i-AAA complex	TRUE
267	TRUE
U4U6 x U5 tri-snRNP complex	FALSE
263	TRUE
58	TRUE
Def1pRad26p complex	TRUE
181	TRUE
56	FALSE
23	FALSE
Succinyl-CoA ligase	TRUE
253	TRUE
116	TRUE
acetolactate synthase complex	TRUE
SCF-CDC4 complex	TRUE
294	TRUE
Gyl1pGyp5p complex	TRUE
111	TRUE
243	TRUE
cytoplasmic ribosomal small subunit	FALSE
161	TRUE
211	TRUE
194	TRUE
234	TRUE
Nfs1pIsd11p complex	TRUE
142	TRUE
Nup84p complex	FALSE
158	TRUE
ribonuclease H2 complex	TRUE
189	TRUE
eIF1eIF1A40S complex	TRUE
11	FALSE
ribonucleoside-diphosphate reductase complex	TRUE
fatty acid synthase complex	TRUE
phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)	TRUE
191	TRUE
26	FALSE
UTP C complex	FALSE
313	TRUE
384	TRUE
Tup1pSsn6p complex	TRUE
38	FALSE
256	TRUE
Snf1pSnf4pSip2p complex	TRUE
66	FALSE
Sli15pBir1p complex	TRUE
369	TRUE
Ela1pElc1p complex	TRUE
Sro1pSec4pSec9p complex	TRUE
337	TRUE
RES complex	TRUE
Tof1pMrc1pCsm3p complex	TRUE
255	TRUE
304	TRUE
Sno1pSnz1p complex	TRUE
76	TRUE
260	TRUE
31	FALSE
Exocyst complex	FALSE
15	FALSE
Mei5pSae3p complex	TRUE
309	TRUE
TRAPP complex	FALSE
heterotrimeric G-protein complex	TRUE
COPII	FALSE
95	TRUE
nucleotide-excision repair factor 1 complex	TRUE
114	TRUE
151	TRUE
Sod1pCcs1p complex	TRUE
Ribosome-associated complex (RAC)	TRUE
258	TRUE
UDP-N-acetylglucosamine transferase complex	TRUE
Kornbergs mediator (SRB) complex	FALSE
186	TRUE
9	FALSE
231	TRUE
protein kinase CK2 complex	TRUE
Ntr1pNtr2pPrp43p complex	TRUE
170	TRUE
gamma-tubulin complex	TRUE
Mtk1pPbp1p complex	TRUE
43	FALSE
86	TRUE
prohibitin complex	TRUE
nascent polypeptide-associated complex	TRUE
364	TRUE
m-AAA complex	TRUE
mitochondrial inner membrane protein insertion complex	TRUE
217	TRUE
chaperonin-containing T-complex	FALSE
373	TRUE
328	TRUE
30	FALSE
RENT complex	TRUE
219	TRUE
221	TRUE
Cdc28pClb1p complex	TRUE
13-beta-glucan synthase complex (Fks1pRho1p)	TRUE
H-transporting ATPase Golgi	FALSE
Sds22pGlc7p complex	TRUE
SNARE complex	TRUE
anaphase-promoting complex	FALSE
Synaptonemal complex (SC)	TRUE
HIR complex	TRUE
CAAX-protein geranylgeranyltransferase complex	TRUE
110	TRUE
Npa2p-containing subcomplex	FALSE
ubiquitin ligase ERAD-L complex	FALSE
GAL3pGAL80p complex	TRUE
Set3p complex	FALSE
Bi3 ribonucleoprotein complex	TRUE
SAS Complex	TRUE
129	TRUE
131	TRUE
370	TRUE
peroxin docking complex	TRUE
399	TRUE
14	FALSE
150	TRUE
Tim8pTim13p complex	TRUE
Mtr2pMex67p complex	TRUE
80	TRUE
351	TRUE
275	TRUE
1922S regulator	FALSE
Golgi transport complex	FALSE
353	TRUE
6-phosphofructokinase complex	TRUE
mitochondrial inner membrane peptidase complex	TRUE
Sap190pSit4p complex	TRUE
Lge1pBre1p complex	TRUE
19	FALSE
362	TRUE
eIF2B	FALSE
180	TRUE
0	FALSE
Mks1pRtg2p complex	TRUE
Sgv1pBur2p complex	TRUE
51	FALSE
140	TRUE
Gcd10pGcd14p complex	TRUE
DNA ligase IV	TRUE
NuA3 histone acetyltransferase complex	TRUE
226	TRUE
U2 snRNP complex	FALSE
OCA complex	TRUE
398	TRUE
262	TRUE
Ubp3pBre5p complex	TRUE
Kel1pKel2pLte1p complex	TRUE
53	TRUE
AP-2 adaptor complex	TRUE
278	TRUE
mRNA guanylyl transferase (capping complex)	TRUE
52	FALSE
327	TRUE
Succinate dehydrogenase complex (complex II)	TRUE
355	TRUE
329	TRUE
Rvs161pRvs167p complex	TRUE
SBF complex	TRUE
127	TRUE
Q-biosynthetic Coq polypeptide complex	TRUE
125	TRUE
102	TRUE
101	TRUE
Bni4pGlc7p complex	TRUE
cytoplasmic ribosomal large subunit	FALSE
Phenylalaninine-tRNA-ligase	TRUE
GINS complex	TRUE
Nem1pSpo7p complex	TRUE
Holliday junction resolvase complex	TRUE
236	TRUE
Protein O-mannosyltransferase(Pmt1pPmt2p)	TRUE
Hym1pKic1pSog2p complex	TRUE
348	TRUE
49	FALSE
Chs5pArf-1binding proteins (ChAPs)	FALSE
145	TRUE
154	TRUE
169	TRUE
47	FALSE
310	TRUE
21	FALSE
Gcn1pGcn20p complex	TRUE
GPI-anchor transamidase complex	FALSE
103	TRUE
175	TRUE
HOPS complex	FALSE
396	TRUE
82	TRUE
mitochondrial processing peptidase complex	TRUE
Grh1pBug1p complex	TRUE
259	TRUE
mitochondrial pyruvate dehydrogenase complex	TRUE
Fth1pFet5p complex	TRUE
266	TRUE
79	FALSE
Hse1pVps27p complex	TRUE
148	TRUE
37	FALSE
380	TRUE
Rix1p complex	TRUE
mitochondrial ribosomal small subunit	FALSE
Rad53pAsf1p complex	TRUE
232	TRUE
249	TRUE
Nucleosomal protein complex	FALSE
124	TRUE
342	TRUE
347	TRUE
7	FALSE
20	FALSE
366	TRUE
90	TRUE
198	TRUE
GARP complex	TRUE
207	TRUE
237	TRUE
Dpb11pSld2p complex	TRUE
DNA-directed RNA polymerase I complex	FALSE
376	TRUE
320	TRUE
retromer complex	FALSE
308	TRUE
316	TRUE
DNA replication factor C complex (Rcf1p)	FALSE
Ula1pUba3p complex	TRUE
Bub1pBub3p complex	TRUE
DNA replication factor A complex	TRUE
70	TRUE
291	TRUE
63	TRUE
386	TRUE
361	TRUE
130	TRUE
201	TRUE
Eisosome	TRUE
143	TRUE
GSH degradosomal complex	TRUE
Mto1pMss1p complex	TRUE
Slx1pSlx4p complex	TRUE
Cdc28pClb5p complex	TRUE
DSIF complex	TRUE
adoMet-dependent tRNA methyltransferase (Mtase) Complex	TRUE
122	TRUE
368	TRUE
SLIK (SAGA-like) complex	FALSE
cytoplasmic dynein complex	TRUE
MSH2pMSH3p complex	TRUE
nucleotide-excision repair factor 4 complex	TRUE
296	TRUE
mitochondrial outer membrane translocase complex	FALSE
195	TRUE
Bub2pBfa1p complex	TRUE
Rpd3L complex	FALSE
nucleotide-excision repair factor 2 complex	TRUE
335	TRUE
216	TRUE
168	TRUE
293	TRUE
372	TRUE
187	TRUE
cohesin loading factor complex	TRUE
393	TRUE
Signal recognition particle (SRP)	FALSE
202	TRUE
354	TRUE
Mlh1pPms1p complex	TRUE
292	TRUE
CBF3 complex	TRUE
Cdc28pCln3p complex	TRUE
Sec62pSec63p complex	TRUE
48	FALSE
Mgm1pUgo1pFzo1p complex	TRUE
Mps2pBbp1p complex	TRUE
ubiquitin ligase ERAD-M complex	TRUE
Dcs1pDcs2 heterodimer	TRUE
RecQ helicase-Topo III complex	TRUE
358	TRUE
transcription factor TFIIIB complex	TRUE
Protein O-mannosyltransferase(Pmt3pPmt5p)	TRUE
209	TRUE
Rad17pDdc1pMec3p complex	TRUE
Cytoplasmic exosome complex	FALSE
DNA replication factor C complex (Ctf18pCtf8pdcc1p)	FALSE
68	FALSE
Bi4pNam2p complex	TRUE
Csh1pCsg2p complex	TRUE
tRNA Methyltransferase Complex	TRUE
Sac3pThp1p complex	TRUE
224	TRUE
Prp19-associated complex	FALSE
dynactin complex	TRUE
315	TRUE
55	FALSE
carbamoyl-phosphate synthase complex	TRUE
meiotic recombination initiation complex	TRUE
transcription factor TFIIF complex	TRUE
Rtg1pRtg3p complex	TRUE
luminal surveillance complex	TRUE
287	TRUE
chromatin silencing complex	TRUE
Nonsense-mediated mRNA decay pathway complex	TRUE
Clathrin	TRUE
280	TRUE
395	TRUE
karyopherin docking subcomplex of the Nuclear Pore Complex (NPC)	TRUE
273	TRUE
adenylyl cyclase complex	TRUE
eEF1	FALSE
62	FALSE
chromatin accessibility complex	TRUE
Mst27pMst28p complex	TRUE
321	TRUE
276	TRUE
149	TRUE
other DNA repair complexes	TRUE
Rsp5pBul1 ubiquitin ligase complex	TRUE
84	TRUE
345	TRUE
270	TRUE
252	TRUE
mitotic checkpoint complex	TRUE
translation release factor complex	TRUE
96	TRUE
ESCRT II complex	TRUE
77	TRUE
Geranylgeranyltransferase II (GGTase II)	TRUE
Nup82 nuclear pore subcomplex	TRUE
325	TRUE
242	TRUE
methionyl glutamyl tRNA synthetase complex	TRUE
289	TRUE
Rot2pGtb1p complex	TRUE
ribonuclease MRP complex	FALSE
359	TRUE
257	TRUE
Gip1pGlc7p complex	TRUE
1	FALSE
160	TRUE
Met4pMet28pMet32p complex	TRUE
4	FALSE
59	TRUE
actin cytoskeleton-regulatory complex Pan1pSla1pEnd3p complex	TRUE
Pxa1pPxa2p complex	TRUE
Cdc73pPaf1p complex	FALSE
173	TRUE
115	TRUE
132	TRUE
Atg20pSnx4pSnx41p complex	TRUE
TRAMP complex (Air1p)	TRUE
343	TRUE
89	TRUE
Pho85pPcl10p complex	TRUE
Dsl1p complex	FALSE
135	TRUE
377	TRUE
alpha-16-mannosyltransferase complex(Van1pMnn9p)	TRUE
Telomerase	TRUE
5	FALSE
300	TRUE
Pho85pPcl2p complex	TRUE
349	TRUE
GCR complex	TRUE
32	FALSE
165	TRUE
FBP degradation complex	FALSE
184	TRUE
247	TRUE
339	TRUE
Slx5pSlx8p complex	TRUE
233	TRUE
290	TRUE
Met4pMet28pMet31p complex	TRUE
Polzeta-Rev1p complex	TRUE
244	TRUE
Rtt109pVps75p complex	TRUE
Snf1pSnf4pGal83p complex	TRUE
mitochondrial inner membrane presequence translocase complex	FALSE
carboxy-terminal domain protein kinase complex	TRUE
239	TRUE
301	TRUE
74	TRUE
Dop1pMon2p complex	TRUE
COPI	FALSE
Erv41pErv46p complex	TRUE
monopolin complex	TRUE
67	FALSE
98	TRUE
223	TRUE
MIND complex	TRUE
eIF3	FALSE
208	TRUE
chromatin assembly complex	TRUE
271	TRUE
45	FALSE
277	TRUE
227	TRUE
64	TRUE
Mad1pMad2p complex	TRUE
degradosome	TRUE
eIF2	TRUE
EKCKEOPS protein complex	TRUE
Cbf1pMet4pMet28p complex	TRUE
88	TRUE
332	TRUE
NatA complex	TRUE
163	TRUE
174	TRUE
238	TRUE
Apg12pApg5pApg16 multimeric complex	TRUE
Sum1pRfm1pHst1p complex	TRUE
histone deacetylase complex	TRUE
73	FALSE
transcription export complex	TRUE
AP-3 adaptor complex	TRUE
Kel1pKel2p complex	TRUE
285	TRUE
NatB complex	TRUE
57	FALSE
tRNA-intron endonuclease complex	TRUE
265	TRUE
PAN complex	TRUE
heterodimeric G-protein complex	TRUE
137	TRUE
protein farnesyltransferase complex	TRUE
109	TRUE
transcription factor TFIIIC complex	FALSE
Ino2pIno4p basic helix-loop-helix heteromeric complex	TRUE
NC2 complex	TRUE
Mlh1pMlh3p complex	TRUE
CURI complex	TRUE
268	TRUE
transcription factor TFIIA complex	TRUE
TORC 1 complex	TRUE
167	TRUE
Sur1pCsg2p complex	TRUE
THO complex	TRUE
HAT-B complex	TRUE
cAMP-dependent protein kinase	TRUE
prefoldin complex	FALSE
178	TRUE
100	TRUE
mitochondrial oxoglutarate dehydrogenase complex	TRUE
331	TRUE
PAM complex	FALSE
signal recognition particle receptor complex	TRUE
394	TRUE
mRNA cleavage factor complex (CFI)	FALSE
Ndc80p complex	TRUE
106	TRUE
383	TRUE
ESCRT III complex	TRUE
312	TRUE
U5 snRNP complex	FALSE
138	TRUE
Cul3p-RING ubiquitin ligase complex	TRUE
ubiquitin conjugating enzyme complex	TRUE
87	FALSE
Sap185pSit4p complex	TRUE
340	TRUE
250	TRUE
182	TRUE
374	TRUE
Mcm2-7 complex	FALSE
94	TRUE
guanyl-nucleotide exchange factor complex	TRUE
136	TRUE
228	TRUE
251	TRUE
palmitoyltransferase complex	TRUE
27	FALSE
274	TRUE
UTP B complex	FALSE
GET complex	TRUE
6	FALSE
193	TRUE
128	TRUE
199	TRUE
MSH2pMSH6p complex	TRUE
Tap42pPph21pRrd2p complex	TRUE
Mot1p complex	TRUE
288	TRUE
13	FALSE
284	TRUE
EGO complex	TRUE
Ku complex	TRUE
Cdc24pFar1pGbetagamma protein complex	TRUE
171	TRUE
U6 snRNP complex	FALSE
DASH complex	FALSE
phosphatidylinositol (PtdIns) 3-kinase complex (functions in CPY sorting)	TRUE
97	TRUE
DNA polymerase delta complex	TRUE
Nsp1p complex	TRUE
SAGA complex	FALSE
Cdc28pClb4p complex	TRUE
141	TRUE
99	TRUE
ISW1b complex	TRUE
272	TRUE
146	TRUE
172	TRUE
34	FALSE
230	TRUE
303	TRUE
225	TRUE
Rpd3S complex	FALSE
269	TRUE
Arg2pArg56p complex	TRUE
147	TRUE
72	TRUE
240	TRUE
Far3pFar7pFar8pFar9pFar10pFar11p complex	FALSE
69	TRUE
20S proteasome	FALSE
mitochondrial ribosomal large subunit	FALSE
Noc2pNoc3p complex	TRUE
153	TRUE
25	FALSE
281	TRUE
177	TRUE
185	TRUE
12	FALSE
126	FALSE
Nuclear exosome complex	FALSE
Reg2pGlc7p complex	TRUE
Noc1pNoc2p complex	TRUE
18	FALSE
mitochondrial intermembrane space protein transporter complex	TRUE
104	FALSE
113	TRUE
13-beta-glucan synthase complex (Gsc2pSmk1p)	TRUE
261	TRUE
nuclear ubiquitin ligase complex	TRUE
ER V-ATPase assembly complex	TRUE
Chz1pHtz1pHtb1p complex	TRUE
SPB components	FALSE
RING finger peroxin complex	TRUE
Permease-Oxidase Complex	TRUE
40	FALSE
39	FALSE
61	FALSE
392	TRUE
mRNA cleavage and polyadenylation specificity factor complex	FALSE
295	TRUE
254	TRUE
196	TRUE
CCR4-NOT core complex	FALSE
eIF4F	TRUE
264	TRUE
3	FALSE
Vam3pVam7 vacuolar tSNARE complex	TRUE
Bud14pGlc7p complex	TRUE
Cytochrome c oxidase (complex IV)	FALSE
134	TRUE
200	TRUE
246	TRUE
COMA complex	TRUE
306	TRUE
Snf1pSnf4pSip1p complex	TRUE
glycine cleavage complex	TRUE
299	TRUE
Ino80p complex	FALSE
Mdm12pMmm1pMdm10p complex	TRUE
81	TRUE
2	TRUE
Arp23 protein complex	FALSE
oligosaccharyl transferase complex	FALSE
Mlh1pMlh2p complex	TRUE
60	FALSE
319	TRUE
Tubulins	TRUE
RNA Degradation Complex	TRUE
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	TRUE
anthranilate synthase complex	TRUE
83	FALSE
signal peptidase complex	TRUE
46	FALSE
TRAMP complex (Air2p)	TRUE
Mon1pCcz1p complex	TRUE
sulfite reductase complex (NADPH)	TRUE
54	FALSE
16	FALSE
212	TRUE
330	TRUE
282	TRUE
42	FALSE
MBF complex	TRUE
Noc4pNop14p complex	TRUE
transcription factor TFIIH complex	FALSE
Swr1p complex	FALSE
222	TRUE
346	TRUE
nucleolar ribonuclease P complex	FALSE
29	FALSE
356	TRUE
Gac1pGlc7p complex	TRUE
93	TRUE
GSE Complex	TRUE
22	FALSE
SWISNF complex	FALSE
241	TRUE
Mob1pDbf2p complex	TRUE
Reg1pGlc7p complex	TRUE
GAL4pGAL80p complex	TRUE
Decapping Enzyme Complex	TRUE
Nsp1pNup82p complex	TRUE
RNA polymerase I transcription factor complex	TRUE
210	TRUE
36	FALSE
protein phosphatase type 2A complex (Cdc55p)	TRUE
397	TRUE
Cox14pCox1pMss51p complex	TRUE
183	TRUE
286	TRUE
