complex	nodes	edges	planar
304	2	1	TRUE
Sno1pSnz1p complex	2	1	TRUE
76	4	4	TRUE
260	2	1	TRUE
31	9	33	FALSE
Exocyst complex	8	28	FALSE
15	16	106	FALSE
Mei5pSae3p complex	2	1	TRUE
309	2	1	TRUE
TRAPP complex	9	35	FALSE
heterotrimeric G-protein complex	3	3	TRUE
COPII	11	40	FALSE
95	4	6	TRUE
nucleotide-excision repair factor 1 complex	3	3	TRUE
114	3	2	TRUE
151	2	1	TRUE
Sod1pCcs1p complex	2	1	TRUE
Ribosome-associated complex (RAC)	2	1	TRUE
258	2	1	TRUE
UDP-N-acetylglucosamine transferase complex	2	1	TRUE
Kornbergs mediator (SRB) complex	25	273	FALSE
186	3	3	TRUE
9	29	326	FALSE
231	4	3	TRUE
protein kinase CK2 complex	4	6	TRUE
Ntr1pNtr2pPrp43p complex	3	3	TRUE
170	3	3	TRUE
gamma-tubulin complex	3	3	TRUE
Mtk1pPbp1p complex	2	1	TRUE
43	7	13	FALSE
86	5	9	TRUE
prohibitin complex	2	1	TRUE
nascent polypeptide-associated complex	3	2	TRUE
364	2	1	TRUE
m-AAA complex	2	1	TRUE
mitochondrial inner membrane protein insertion complex	4	6	TRUE
217	2	1	TRUE
chaperonin-containing T-complex	8	21	FALSE
373	0	0	TRUE
328	2	1	TRUE
30	7	15	FALSE
RENT complex	3	3	TRUE
219	2	1	TRUE
221	2	1	TRUE
Cdc28pClb1p complex	2	1	TRUE
13-beta-glucan synthase complex (Fks1pRho1p)	2	1	TRUE
H-transporting ATPase Golgi	13	53	FALSE
Sds22pGlc7p complex	2	1	TRUE
SNARE complex	3	3	TRUE
anaphase-promoting complex	15	97	FALSE
Synaptonemal complex (SC)	4	4	TRUE
HIR complex	4	6	TRUE
CAAX-protein geranylgeranyltransferase complex	2	1	TRUE
110	4	3	TRUE
Npa2p-containing subcomplex	5	10	FALSE
ubiquitin ligase ERAD-L complex	5	10	FALSE
GAL3pGAL80p complex	2	1	TRUE
Set3p complex	7	21	FALSE
Bi3 ribonucleoprotein complex	2	1	TRUE
SAS Complex	3	3	TRUE
129	3	3	TRUE
131	4	6	TRUE
370	2	1	TRUE
peroxin docking complex	3	3	TRUE
399	2	1	TRUE
14	15	65	FALSE
150	3	2	TRUE
Tim8pTim13p complex	2	1	TRUE
Mtr2pMex67p complex	2	1	TRUE
80	4	4	TRUE
351	2	1	TRUE
275	2	1	TRUE
1922S regulator	22	229	FALSE
Golgi transport complex	8	28	FALSE
353	2	1	TRUE
6-phosphofructokinase complex	2	1	TRUE
mitochondrial inner membrane peptidase complex	3	2	TRUE
Sap190pSit4p complex	2	1	TRUE
Lge1pBre1p complex	2	1	TRUE
19	11	52	FALSE
362	2	1	TRUE
eIF2B	5	10	FALSE
180	3	2	TRUE
0	87	176	FALSE
Mks1pRtg2p complex	2	1	TRUE
Sgv1pBur2p complex	2	1	TRUE
51	7	19	FALSE
140	3	3	TRUE
Gcd10pGcd14p complex	2	1	TRUE
DNA ligase IV	2	1	TRUE
NuA3 histone acetyltransferase complex	5	8	TRUE
226	0	0	TRUE
U2 snRNP complex	18	110	FALSE
OCA complex	6	12	TRUE
398	2	1	TRUE
262	2	1	TRUE
Ubp3pBre5p complex	2	1	TRUE
Kel1pKel2pLte1p complex	3	3	TRUE
53	7	10	TRUE
AP-2 adaptor complex	4	6	TRUE
278	0	0	TRUE
mRNA guanylyl transferase (capping complex)	2	1	TRUE
52	7	21	FALSE
327	2	1	TRUE
Succinate dehydrogenase complex (complex II)	4	4	TRUE
355	2	1	TRUE
329	0	0	TRUE
Rvs161pRvs167p complex	2	1	TRUE
SBF complex	2	1	TRUE
127	3	2	TRUE
Q-biosynthetic Coq polypeptide complex	2	1	TRUE
125	4	6	TRUE
102	4	2	TRUE
101	4	5	TRUE
Bni4pGlc7p complex	2	1	TRUE
cytoplasmic ribosomal large subunit	79	221	FALSE
Phenylalaninine-tRNA-ligase	2	1	TRUE
GINS complex	4	6	TRUE
Nem1pSpo7p complex	2	1	TRUE
Holliday junction resolvase complex	2	1	TRUE
236	2	1	TRUE
Protein O-mannosyltransferase(Pmt1pPmt2p)	2	1	TRUE
Hym1pKic1pSog2p complex	3	3	TRUE
348	2	1	TRUE
49	9	20	FALSE
Chs5pArf-1binding proteins (ChAPs)	6	15	FALSE
145	3	3	TRUE
154	3	2	TRUE
169	3	3	TRUE
47	7	16	FALSE
310	2	1	TRUE
21	10	44	FALSE
Gcn1pGcn20p complex	2	1	TRUE
GPI-anchor transamidase complex	5	10	FALSE
103	4	6	TRUE
175	3	3	TRUE
HOPS complex	6	15	FALSE
396	2	1	TRUE
82	5	9	TRUE
mitochondrial processing peptidase complex	2	1	TRUE
Grh1pBug1p complex	2	1	TRUE
259	2	1	TRUE
mitochondrial pyruvate dehydrogenase complex	7	8	TRUE
Fth1pFet5p complex	2	1	TRUE
266	2	1	TRUE
79	5	10	FALSE
Hse1pVps27p complex	2	1	TRUE
148	3	3	TRUE
37	8	19	FALSE
380	2	1	TRUE
Rix1p complex	3	3	TRUE
mitochondrial ribosomal small subunit	31	168	FALSE
Rad53pAsf1p complex	2	1	TRUE
232	2	1	TRUE
249	2	1	TRUE
Nucleosomal protein complex	8	28	FALSE
124	4	6	TRUE
342	2	1	TRUE
347	0	0	TRUE
7	30	183	FALSE
20	11	54	FALSE
366	2	1	TRUE
90	5	9	TRUE
198	3	2	TRUE
GARP complex	4	6	TRUE
207	2	1	TRUE
237	0	0	TRUE
Dpb11pSld2p complex	2	1	TRUE
DNA-directed RNA polymerase I complex	14	81	FALSE
376	2	1	TRUE
320	2	1	TRUE
retromer complex	5	10	FALSE
308	2	1	TRUE
316	2	1	TRUE
DNA replication factor C complex (Rcf1p)	5	10	FALSE
Ula1pUba3p complex	2	1	TRUE
Bub1pBub3p complex	2	1	TRUE
DNA replication factor A complex	3	3	TRUE
70	4	3	TRUE
291	2	1	TRUE
63	6	7	TRUE
386	2	1	TRUE
361	2	1	TRUE
130	4	5	TRUE
201	3	2	TRUE
Eisosome	2	1	TRUE
143	3	3	TRUE
GSH degradosomal complex	3	3	TRUE
Mto1pMss1p complex	2	1	TRUE
Slx1pSlx4p complex	2	1	TRUE
Cdc28pClb5p complex	2	1	TRUE
DSIF complex	2	1	TRUE
adoMet-dependent tRNA methyltransferase (Mtase) Complex	2	1	TRUE
122	4	5	TRUE
368	2	1	TRUE
SLIK (SAGA-like) complex	17	125	FALSE
cytoplasmic dynein complex	4	5	TRUE
MSH2pMSH3p complex	2	1	TRUE
nucleotide-excision repair factor 4 complex	4	5	TRUE
296	2	1	TRUE
mitochondrial outer membrane translocase complex	7	18	FALSE
195	2	1	TRUE
Bub2pBfa1p complex	2	1	TRUE
Rpd3L complex	12	65	FALSE
nucleotide-excision repair factor 2 complex	2	1	TRUE
335	2	1	TRUE
216	2	1	TRUE
168	3	3	TRUE
293	0	0	TRUE
372	0	0	TRUE
187	3	3	TRUE
cohesin loading factor complex	2	1	TRUE
393	2	1	TRUE
Signal recognition particle (SRP)	6	15	FALSE
202	2	1	TRUE
354	0	0	TRUE
Mlh1pPms1p complex	2	1	TRUE
292	0	0	TRUE
CBF3 complex	4	6	TRUE
Cdc28pCln3p complex	2	1	TRUE
Sec62pSec63p complex	4	6	TRUE
48	7	21	FALSE
Mgm1pUgo1pFzo1p complex	3	3	TRUE
Mps2pBbp1p complex	3	3	TRUE
ubiquitin ligase ERAD-M complex	2	1	TRUE
Dcs1pDcs2 heterodimer	2	1	TRUE
RecQ helicase-Topo III complex	3	3	TRUE
358	2	1	TRUE
transcription factor TFIIIB complex	3	3	TRUE
Protein O-mannosyltransferase(Pmt3pPmt5p)	2	1	TRUE
209	2	1	TRUE
Rad17pDdc1pMec3p complex	3	3	TRUE
Cytoplasmic exosome complex	10	45	FALSE
DNA replication factor C complex (Ctf18pCtf8pdcc1p)	7	18	FALSE
68	6	15	FALSE
Bi4pNam2p complex	2	1	TRUE
Csh1pCsg2p complex	2	1	TRUE
tRNA Methyltransferase Complex	2	1	TRUE
Sac3pThp1p complex	2	1	TRUE
224	0	0	TRUE
Prp19-associated complex	8	28	FALSE
dynactin complex	4	6	TRUE
315	2	1	TRUE
55	7	19	FALSE
carbamoyl-phosphate synthase complex	2	1	TRUE
meiotic recombination initiation complex	3	3	TRUE
transcription factor TFIIF complex	3	3	TRUE
Rtg1pRtg3p complex	2	1	TRUE
luminal surveillance complex	3	3	TRUE
287	2	1	TRUE
chromatin silencing complex	3	3	TRUE
Nonsense-mediated mRNA decay pathway complex	3	3	TRUE
Clathrin	2	1	TRUE
280	2	1	TRUE
395	2	1	TRUE
karyopherin docking subcomplex of the Nuclear Pore Complex (NPC)	3	3	TRUE
273	10	15	TRUE
adenylyl cyclase complex	2	1	TRUE
eEF1	5	10	FALSE
62	7	20	FALSE
chromatin accessibility complex	4	6	TRUE
Mst27pMst28p complex	2	1	TRUE
321	0	0	TRUE
276	2	1	TRUE
149	3	3	TRUE
other DNA repair complexes	2	1	TRUE
Rsp5pBul1 ubiquitin ligase complex	2	1	TRUE
84	5	6	TRUE
345	0	0	TRUE
270	0	0	TRUE
252	2	1	TRUE
mitotic checkpoint complex	4	6	TRUE
translation release factor complex	2	1	TRUE
96	4	6	TRUE
ESCRT II complex	3	3	TRUE
77	6	10	TRUE
Geranylgeranyltransferase II (GGTase II)	2	1	TRUE
Nup82 nuclear pore subcomplex	3	3	TRUE
325	2	1	TRUE
242	2	1	TRUE
methionyl glutamyl tRNA synthetase complex	3	3	TRUE
289	2	1	TRUE
Rot2pGtb1p complex	2	1	TRUE
ribonuclease MRP complex	10	41	FALSE
359	0	0	TRUE
257	2	1	TRUE
Gip1pGlc7p complex	2	1	TRUE
1	72	1079	FALSE
160	3	3	TRUE
Met4pMet28pMet32p complex	3	2	TRUE
4	46	575	FALSE
59	7	10	TRUE
actin cytoskeleton-regulatory complex Pan1pSla1pEnd3p complex	3	3	TRUE
Pxa1pPxa2p complex	2	1	TRUE
Cdc73pPaf1p complex	7	17	FALSE
173	2	1	TRUE
115	4	6	TRUE
132	4	5	TRUE
Atg20pSnx4pSnx41p complex	3	3	TRUE
TRAMP complex (Air1p)	3	3	TRUE
343	2	1	TRUE
89	3	2	TRUE
Pho85pPcl10p complex	2	1	TRUE
Dsl1p complex	6	15	FALSE
135	3	2	TRUE
377	2	1	TRUE
alpha-16-mannosyltransferase complex(Van1pMnn9p)	2	1	TRUE
Telomerase	3	3	TRUE
5	61	641	FALSE
300	0	0	TRUE
Pho85pPcl2p complex	2	1	TRUE
349	2	1	TRUE
GCR complex	2	1	TRUE
32	8	21	FALSE
165	3	3	TRUE
FBP degradation complex	8	24	FALSE
184	3	2	TRUE
247	0	0	TRUE
339	0	0	TRUE
Slx5pSlx8p complex	2	1	TRUE
233	2	1	TRUE
290	0	0	TRUE
Met4pMet28pMet31p complex	3	3	TRUE
Polzeta-Rev1p complex	3	3	TRUE
244	2	1	TRUE
Rtt109pVps75p complex	2	1	TRUE
Snf1pSnf4pGal83p complex	3	3	TRUE
mitochondrial inner membrane presequence translocase complex	6	15	FALSE
carboxy-terminal domain protein kinase complex	3	3	TRUE
239	2	1	TRUE
301	2	1	TRUE
74	4	3	TRUE
Dop1pMon2p complex	2	1	TRUE
COPI	8	27	FALSE
Erv41pErv46p complex	2	1	TRUE
monopolin complex	4	6	TRUE
67	6	15	FALSE
98	5	8	TRUE
223	0	0	TRUE
MIND complex	4	6	TRUE
eIF3	7	16	FALSE
208	2	1	TRUE
chromatin assembly complex	3	3	TRUE
271	2	1	TRUE
45	8	28	FALSE
277	2	1	TRUE
227	2	1	TRUE
64	6	9	TRUE
Mad1pMad2p complex	2	1	TRUE
degradosome	2	1	TRUE
eIF2	3	3	TRUE
EKCKEOPS protein complex	5	9	TRUE
Cbf1pMet4pMet28p complex	3	3	TRUE
88	5	8	TRUE
332	2	1	TRUE
NatA complex	3	3	TRUE
163	3	3	TRUE
174	3	3	TRUE
238	2	1	TRUE
Apg12pApg5pApg16 multimeric complex	3	3	TRUE
Sum1pRfm1pHst1p complex	3	3	TRUE
histone deacetylase complex	3	3	TRUE
73	5	10	FALSE
transcription export complex	3	3	TRUE
AP-3 adaptor complex	4	5	TRUE
Kel1pKel2p complex	2	1	TRUE
285	2	1	TRUE
NatB complex	2	1	TRUE
57	7	21	FALSE
tRNA-intron endonuclease complex	4	4	TRUE
265	0	0	TRUE
PAN complex	2	1	TRUE
heterodimeric G-protein complex	2	1	TRUE
137	2	1	TRUE
protein farnesyltransferase complex	2	1	TRUE
109	4	6	TRUE
transcription factor TFIIIC complex	6	15	FALSE
Ino2pIno4p basic helix-loop-helix heteromeric complex	2	1	TRUE
NC2 complex	2	1	TRUE
Mlh1pMlh3p complex	2	1	TRUE
CURI complex	4	6	TRUE
268	2	1	TRUE
transcription factor TFIIA complex	2	1	TRUE
TORC 1 complex	4	6	TRUE
167	3	3	TRUE
Sur1pCsg2p complex	2	1	TRUE
THO complex	4	6	TRUE
HAT-B complex	3	3	TRUE
cAMP-dependent protein kinase	4	6	TRUE
prefoldin complex	6	15	FALSE
178	2	1	TRUE
100	4	6	TRUE
mitochondrial oxoglutarate dehydrogenase complex	3	3	TRUE
331	2	1	TRUE
PAM complex	6	15	FALSE
signal recognition particle receptor complex	2	1	TRUE
394	2	1	TRUE
mRNA cleavage factor complex (CFI)	5	10	FALSE
Ndc80p complex	4	6	TRUE
106	4	5	TRUE
383	2	1	TRUE
ESCRT III complex	4	6	TRUE
312	2	1	TRUE
U5 snRNP complex	14	74	FALSE
138	3	3	TRUE
Cul3p-RING ubiquitin ligase complex	5	7	TRUE
ubiquitin conjugating enzyme complex	2	1	TRUE
87	6	15	FALSE
Sap185pSit4p complex	2	1	TRUE
340	2	1	TRUE
250	2	1	TRUE
182	3	2	TRUE
374	2	1	TRUE
Mcm2-7 complex	6	15	FALSE
94	4	6	TRUE
guanyl-nucleotide exchange factor complex	2	1	TRUE
136	3	3	TRUE
228	2	1	TRUE
251	2	1	TRUE
palmitoyltransferase complex	2	1	TRUE
27	17	76	FALSE
274	2	1	TRUE
UTP B complex	6	15	FALSE
GET complex	3	3	TRUE
6	32	331	FALSE
193	3	3	TRUE
128	2	1	TRUE
199	3	3	TRUE
MSH2pMSH6p complex	2	1	TRUE
Tap42pPph21pRrd2p complex	3	3	TRUE
Mot1p complex	2	1	TRUE
288	2	1	TRUE
13	20	124	FALSE
284	2	1	TRUE
EGO complex	3	3	TRUE
Ku complex	2	1	TRUE
Cdc24pFar1pGbetagamma protein complex	4	5	TRUE
171	3	3	TRUE
U6 snRNP complex	8	28	FALSE
DASH complex	10	43	FALSE
phosphatidylinositol (PtdIns) 3-kinase complex (functions in CPY sorting)	4	6	TRUE
97	4	6	TRUE
DNA polymerase delta complex	3	3	TRUE
Nsp1p complex	4	6	TRUE
SAGA complex	20	187	FALSE
Cdc28pClb4p complex	2	1	TRUE
141	3	2	TRUE
99	4	6	TRUE
ISW1b complex	3	3	TRUE
272	2	1	TRUE
146	0	0	TRUE
172	0	0	TRUE
34	8	27	FALSE
230	2	1	TRUE
303	2	1	TRUE
225	2	1	TRUE
Rpd3S complex	5	10	FALSE
269	2	1	TRUE
Arg2pArg56p complex	0	0	TRUE
147	3	3	TRUE
72	2	1	TRUE
240	2	1	TRUE
Far3pFar7pFar8pFar9pFar10pFar11p complex	6	15	FALSE
69	6	12	TRUE
20S proteasome	14	89	FALSE
mitochondrial ribosomal large subunit	41	172	FALSE
Noc2pNoc3p complex	2	1	TRUE
153	3	2	TRUE
25	8	18	FALSE
281	2	1	TRUE
177	3	3	TRUE
185	3	2	TRUE
12	19	123	FALSE
126	6	12	FALSE
Nuclear exosome complex	12	66	FALSE
Reg2pGlc7p complex	2	1	TRUE
Noc1pNoc2p complex	2	1	TRUE
18	13	72	FALSE
mitochondrial intermembrane space protein transporter complex	2	1	TRUE
104	5	10	FALSE
113	4	6	TRUE
13-beta-glucan synthase complex (Gsc2pSmk1p)	2	1	TRUE
261	2	1	TRUE
nuclear ubiquitin ligase complex	4	6	TRUE
ER V-ATPase assembly complex	2	1	TRUE
Chz1pHtz1pHtb1p complex	3	3	TRUE
SPB components	7	17	FALSE
RING finger peroxin complex	3	3	TRUE
Permease-Oxidase Complex	2	1	TRUE
40	9	36	FALSE
39	8	24	FALSE
61	8	28	FALSE
392	0	0	TRUE
mRNA cleavage and polyadenylation specificity factor complex	15	99	FALSE
295	0	0	TRUE
254	2	1	TRUE
196	2	1	TRUE
CCR4-NOT core complex	9	34	FALSE
eIF4F	3	3	TRUE
264	2	1	TRUE
3	39	209	FALSE
Vam3pVam7 vacuolar tSNARE complex	2	1	TRUE
Bud14pGlc7p complex	2	1	TRUE
Cytochrome c oxidase (complex IV)	11	31	FALSE
134	4	6	TRUE
200	3	2	TRUE
246	0	0	TRUE
COMA complex	4	6	TRUE
306	2	1	TRUE
Snf1pSnf4pSip1p complex	3	3	TRUE
glycine cleavage complex	0	0	TRUE
299	2	1	TRUE
Ino80p complex	12	66	FALSE
Mdm12pMmm1pMdm10p complex	3	3	TRUE
81	5	9	TRUE
2	15	14	TRUE
Arp23 protein complex	7	21	FALSE
oligosaccharyl transferase complex	9	36	FALSE
Mlh1pMlh2p complex	2	1	TRUE
60	7	16	FALSE
319	2	1	TRUE
Tubulins	2	1	TRUE
RNA Degradation Complex	3	3	TRUE
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	6	9	TRUE
anthranilate synthase complex	2	1	TRUE
83	5	10	FALSE
signal peptidase complex	4	6	TRUE
46	19	106	FALSE
TRAMP complex (Air2p)	3	3	TRUE
Mon1pCcz1p complex	2	1	TRUE
sulfite reductase complex (NADPH)	2	1	TRUE
54	7	21	FALSE
16	15	38	FALSE
212	2	1	TRUE
330	2	1	TRUE
282	2	1	TRUE
42	8	24	FALSE
MBF complex	2	1	TRUE
Noc4pNop14p complex	2	1	TRUE
transcription factor TFIIH complex	10	39	FALSE
Swr1p complex	13	76	FALSE
222	2	1	TRUE
346	2	1	TRUE
nucleolar ribonuclease P complex	9	34	FALSE
29	9	24	FALSE
356	2	1	TRUE
Gac1pGlc7p complex	2	1	TRUE
93	4	6	TRUE
GSE Complex	5	7	TRUE
22	10	37	FALSE
SWISNF complex	12	62	FALSE
241	0	0	TRUE
Mob1pDbf2p complex	2	1	TRUE
Reg1pGlc7p complex	2	1	TRUE
GAL4pGAL80p complex	2	1	TRUE
Decapping Enzyme Complex	2	1	TRUE
Nsp1pNup82p complex	2	1	TRUE
RNA polymerase I transcription factor complex	3	3	TRUE
210	2	1	TRUE
36	8	21	FALSE
protein phosphatase type 2A complex (Cdc55p)	3	3	TRUE
397	2	1	TRUE
Cox14pCox1pMss51p complex	3	3	TRUE
183	3	3	TRUE
286	2	1	TRUE
